Source,Target,Type,Id,year
169,191,Undirected,573,2009
169,193,Undirected,574,2009
169,195,Undirected,575,2009
169,196,Undirected,576,2009
170,198,Undirected,577,2018
170,199,Undirected,578,2018
170,243,Undirected,579,2018
170,255,Undirected,580,2018
170,271,Undirected,581,2018
172,178,Undirected,582,1992
172,213,Undirected,583,1992
172,214,Undirected,584,1992
172,216,Undirected,585,1992
172,228,Undirected,586,1992
172,229,Undirected,587,1992
172,232,Undirected,588,1992
172,233,Undirected,589,1992
172,238,Undirected,590,1992
172,240,Undirected,591,1992
172,244,Undirected,592,1992
172,249,Undirected,593,1992
172,257,Undirected,594,1992
172,267,Undirected,595,1992
172,268,Undirected,596,1992
172,279,Undirected,597,1992
172,281,Undirected,598,1992
172,286,Undirected,599,1992
173,225,Undirected,600,2002
174,187,Undirected,601,2015
174,277,Undirected,602,2015
175,225,Undirected,603,2002
176,220,Undirected,604,2007
176,236,Undirected,605,2007
177,259,Undirected,606,2008
178,267,Undirected,607,1992
178,286,Undirected,608,1992
180,202,Undirected,609,2010
181,224,Undirected,610,1987
181,285,Undirected,611,1987
183,224,Undirected,612,1987
183,285,Undirected,613,1987
184,212,Undirected,614,2014
184,270,Undirected,615,2014
184,274,Undirected,616,2014
186,259,Undirected,617,2008
188,197,Undirected,618,2008
188,201,Undirected,619,2008
188,210,Undirected,620,2008
188,219,Undirected,621,2008
188,227,Undirected,622,2008
188,246,Undirected,623,2008
188,264,Undirected,624,2008
188,282,Undirected,625,2008
189,191,Undirected,626,2009
189,193,Undirected,627,2009
189,195,Undirected,628,2009
189,196,Undirected,629,2009
190,224,Undirected,630,1987
190,285,Undirected,631,1987
192,259,Undirected,632,2008
194,237,Undirected,633,2012
197,210,Undirected,634,2008
197,227,Undirected,635,2008
197,264,Undirected,636,2008
198,199,Undirected,637,2018
199,243,Undirected,638,2018
199,255,Undirected,639,2018
199,271,Undirected,640,2018
200,202,Undirected,641,2010
200,265,Undirected,642,2010
201,210,Undirected,643,2008
201,227,Undirected,644,2008
201,264,Undirected,645,2008
202,203,Undirected,646,2010
202,206,Undirected,647,2010
202,223,Undirected,648,2010
202,253,Undirected,649,2010
202,258,Undirected,650,2010
202,259,Undirected,651,2010
202,260,Undirected,652,2010
202,265,Undirected,653,2010
204,259,Undirected,654,2008
205,224,Undirected,655,1987
205,285,Undirected,656,1987
208,237,Undirected,657,2012
209,224,Undirected,658,1987
